"Hide Tax on Cart and Checkout", "Nascondi le Tasse nel Carrello e nel Checkout"
"<![CDATA[<strong>Note:</strong> hide Tax has no effects on calculation.]]>","<![CDATA[<strong>Nota:</strong> nascondere le tasse non incide sul calcolo.]]>"
